MULTIMODAL FUNCTIONS - GA vs PSO COMPARISON
==================================================

________________________________________________________________________________
Function        GA                   PSO                 
                Avg      Std      Rank Avg      Std      Rank
________________________________________________________________________________
ackley          16.187843 6.228046 34   47.775038 6.009900 34  
ackleyn3        -179.978992 5.389281 2    -186.025793 0.259849 1   
ackleyn4        -4.379866 0.278147 9    -4.584107 0.005475 9   
adjiman         -9.965344 0.049487 7    -10.017622 0.000000 7   
bartelsconn     1.086253 0.061112 30   1.002065 0.002610 29  
beale           0.027698 0.033900 19   0.000098 0.000096 19  
bird            -106.318900 0.339182 3    -106.747023 0.021184 3   
bohachevskyn2   0.882744 0.802871 28   0.153798 0.134954 27  
bukinn6         229.984153 0.685000 36   229.178785 0.000000 35  
carromtable     -24.082526 0.079270 5    -24.156728 0.000048 5   
crossintray     -2.062470 0.000110 10   -2.062591 0.000019 10  
easom           -0.412744 0.373517 15   -0.993649 0.004152 13  
eggcrate        0.030715 0.026723 20   0.003269 0.003604 23  
goldsteinprice  3.030637 0.024183 32   3.001341 0.001324 31  
griewank        1.919877 0.857605 31   9.706778 1.214513 32  
happycat        0.089891 0.051229 24   0.010403 0.005164 25  
himmelblau      0.194916 0.149483 26   0.000933 0.000853 20  
holdertable     -19.197866 0.007188 6    -19.208390 0.000065 6   
keane           -0.664673 0.011080 14   -0.673404 0.000197 15  
leon            0.073528 0.051135 22   0.000048 0.000040 18  
levin13         0.076209 0.076090 23   0.002474 0.001935 22  
matyas          0.019371 0.013875 17   0.000033 0.000030 17  
mccormick       -1.902101 0.007955 11   -1.910508 0.000000 11  
periodic        0.941698 0.047778 29   0.900067 0.000049 28  
qing            0.024052 0.043640 18   0.002318 0.001892 21  
quartic         -0.998657 0.000957 12   -0.998879 0.000764 12  
rastrigin       3.672914 1.957318 33   35.891250 3.152607 33  
rosenbrock      0.000000 0.000000 16   0.000000 0.000000 16  
salomon         0.220543 0.106438 27   0.096221 0.008095 26  
schwefel        52.396419 41.313508 35   1348.544648 370.347211 36  
shubertn4       -7.617570 0.042342 8    -7.649561 0.007490 8   
shubert         -185.922449 0.710659 1    -185.416196 1.830231 2   
styblinskitank  -78.292108 0.037799 4    -78.330858 0.001363 4   
xinsheyangn2    0.098212 0.120865 25   0.006697 0.002901 24  
xinsheyangn4    -0.767929 0.384337 13   -0.990475 0.003979 14  
zakharov        0.069156 0.057194 21   1.012742 0.315471 30  
________________________________________________________________________________
