Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackley,GA,14.067570,19.217501,4.100479,0.701,13320,30,0.0
ackley,PSO,42.036382,50.355809,5.648105,0.272,10540,30,0.0
ackleyn2,GA,-199.837787,-199.197889,0.465804,0.287,6270,30,0.0
ackleyn2,PSO,-199.933705,-199.874472,0.045653,0.192,13020,30,0.0
ackleyn3,GA,-184.366459,-182.908691,1.181264,0.293,6850,30,0.0
ackleyn3,PSO,-186.350035,-186.077829,0.262033,0.223,13320,30,0.0
ackleyn4,GA,-4.575932,-4.361404,0.330993,0.259,5030,30,0.0
ackleyn4,PSO,-4.589952,-4.589381,0.000672,0.230,12980,30,0.0
adjiman,GA,-9.999327,-9.895527,0.106476,0.315,5940,30,0.0
adjiman,PSO,-10.017622,-10.017621,0.000001,0.187,9540,30,0.0
bartelsconn,GA,1.004030,1.031368,0.015183,0.334,6140,30,0.0
bartelsconn,PSO,1.000677,1.002309,0.001207,0.195,13500,30,0.0
beale,GA,0.001047,0.016585,0.018166,0.274,6440,30,0.0
beale,PSO,0.000004,0.000026,0.000012,0.249,12520,30,0.0
bird,GA,-106.748021,-106.333975,0.674556,0.281,5770,30,0.0
bird,PSO,-106.762441,-106.753417,0.011972,0.188,10660,30,0.0
bohachevskyn1,GA,0.752292,2.883015,2.619766,0.221,4590,30,0.0
bohachevskyn1,PSO,0.042755,0.349146,0.272541,0.180,9840,30,0.0
bohachevskyn2,GA,0.321993,0.756813,0.687120,0.221,4070,30,0.0
bohachevskyn2,PSO,0.050680,0.160808,0.073905,0.170,9440,30,0.0
booth,GA,0.000292,0.220786,0.180090,0.349,5640,30,0.0
booth,PSO,0.000215,0.000603,0.000394,0.301,12720,30,0.0
brent,GA,0.001166,0.059259,0.062437,0.443,7290,30,0.0
brent,PSO,0.000000,0.000000,0.000000,0.108,5100,30,0.0
brown,GA,0.000608,0.003456,0.002797,0.249,4680,30,0.0
brown,PSO,0.000004,0.000299,0.000169,0.226,10380,30,0.0
bukinn6,GA,229.271584,229.750055,0.309326,0.343,5620,30,0.0
bukinn6,PSO,229.178785,229.178785,0.000000,0.130,5180,30,0.0
carromtable,GA,-24.154124,-24.080128,0.088487,0.340,6150,30,0.0
carromtable,PSO,-24.156809,-24.156729,0.000091,0.179,10300,30,0.0
crossintray,GA,-2.062605,-2.062554,0.000078,0.353,5380,30,0.0
