Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackleyn2,GA,-199.802640,-199.247279,0.368855,0.136,5300,2,0.0
ackleyn2,PSO,-199.956809,-199.829584,0.114810,0.051,9040,2,0.0
bohachevskyn1,GA,0.319866,0.942271,0.469715,0.143,5640,2,0.0
bohachevskyn1,PSO,0.019973,0.194419,0.157153,0.057,10080,2,0.0
booth,GA,0.000475,0.040059,0.035055,0.141,5610,2,0.0
booth,PSO,0.000014,0.001293,0.001818,0.043,8440,2,0.0
brent,GA,0.003427,0.005883,0.001833,0.152,6130,2,0.0
brent,PSO,0.000000,0.000000,0.000000,0.029,5160,2,0.0
brown,GA,0.000000,0.000000,0.000000,0.075,2600,30,0.0
brown,PSO,0.000000,0.000000,0.000000,0.049,5100,30,0.0
dropwave,GA,-0.987153,-0.946206,0.020476,0.105,4200,2,0.0
dropwave,PSO,-0.999781,-0.998661,0.000969,0.063,11960,2,0.0
exponential,GA,-9.978154,-9.950986,0.020596,0.382,13390,30,0.0
exponential,PSO,-9.246029,-8.961793,0.286631,0.125,13240,30,0.0
powellsum,GA,0.000352,0.000924,0.000463,0.489,16910,30,0.0
powellsum,PSO,0.011081,0.015511,0.004424,0.109,11000,30,0.0
ridge,GA,-98.563494,-97.513212,1.132260,0.322,11260,30,0.0
ridge,PSO,-100.000000,-100.000000,0.000000,0.057,5860,30,0.0
schaffern1,GA,0.009466,0.029903,0.016352,0.124,4830,2,0.0
schaffern1,PSO,0.000000,0.000021,0.000023,0.053,9740,2,0.0
schaffern2,GA,0.007804,0.028278,0.019789,0.140,5450,2,0.0
schaffern2,PSO,0.000002,0.000078,0.000063,0.049,9340,2,0.0
schaffern3,GA,0.003504,0.017133,0.009780,0.189,7500,2,0.0
schaffern3,PSO,0.001602,0.001996,0.000353,0.053,9860,2,0.0
schaffern4,GA,0.300427,0.307012,0.005400,0.130,5140,2,0.0
schaffern4,PSO,0.292613,0.292974,0.000360,0.068,12860,2,0.0
schwefel220,GA,7.799905,10.519738,2.549735,0.289,10160,30,0.0
schwefel220,PSO,27.647346,33.998704,3.575306,0.098,10460,30,0.0
schwefel221,GA,4.419779,6.857997,1.940532,0.341,12090,30,0.0
schwefel221,PSO,22.903143,30.153423,4.820661,0.106,11420,30,0.0
schwefel222,GA,9.139215,15.668327,3.988259,0.407,14290,30,0.0
schwefel222,PSO,55.732087,61.296134,4.471328,0.087,9060,30,0.0
schwefel223,GA,28.569111,14939911.449328,28631260.014476,0.431,15110,30,0.0
schwefel223,PSO,1909225.635549,4590473135.283454,5564132323.489107,0.118,12040,30,0.0
sphere,GA,0.006536,0.037918,0.048464,0.418,14770,30,0.0
sphere,PSO,0.357826,0.515541,0.131233,0.102,10640,30,0.0
sumsquares,GA,0.016737,0.185350,0.252780,0.471,16520,30,0.0
sumsquares,PSO,0.803329,1.460113,0.498638,0.093,9740,30,0.0
threehumpcamel,GA,0.000057,0.060249,0.119296,0.155,6260,2,0.0
threehumpcamel,PSO,0.000001,0.000009,0.000008,0.075,14100,2,0.0
trid,GA,0.040534,0.121422,0.054548,0.469,16620,30,0.0
trid,PSO,1.068106,1.850026,0.542866,0.100,10700,30,0.0
xinsheyangn3,GA,-9.936575,-9.817408,0.131606,0.500,16120,30,0.0
xinsheyangn3,PSO,-7.734977,-6.726373,0.656952,0.105,10140,30,0.0
